Day,Games,Mean Error,Median Error,Std Error,Win Rate %,Edge %
Tuesday,35,16.78,10.3,15.61,34.3,-19.8
Wednesday,108,15.03,12.98,12.12,34.3,-7.3
Thursday,579,20.07,17.3,14.94,21.8,-43.3
Friday,700,17.52,14.41,13.73,26.7,-25.1
Saturday,18220,19.1,15.77,15.03,25.3,-36.4
Sunday,1871,17.13,13.94,13.6,27.2,-22.4
